"Nombre restaurante","Rating","Cantidad reviews","Dirección","Teléfono","Sitio web","Categoría","Google Maps URL","Latitud","Longitud","Comuna","Región","País","Fuente","Fecha extracción","Calidad dato","Es restaurante válido","Instagram URL","Instagram Usuario","Facebook URL","TikTok URL","Tiene Redes","Calidad Redes","Está en Uber Eats","URL Uber Eats","Confianza Uber Eats","Está en PedidosYa","URL PedidosYa","Confianza PedidosYa","Está en Rappi","URL Rappi","Confianza Rappi","Observaciones"
"Diablo Vino y Fuego Restaurante","4.7","69","Mercado Urbano Tobalaba (MUT - Av. Apoquindo 2730, 5to Piso, 7550179 Las Condes, Región Metropolitana","9 5006 3696","https://diablorestaurant.com/","Restaurante","https://www.google.com/maps/place/Diablo+Vino+y+Fuego+Restaurante/data=!4m7!3m6!1s0x9662cf000e465ddb:0x6db641c2529150bd!8m2!3d-33.4176518!4d-70.6013263!16s%2Fg%2F11ybgm1n6y!19sChIJ211GDgDPYpYRvVCRUsJBtm0?authuser=0&hl=es-419&rclk=1","-33.4176518","-70.6013263","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"La Cabrera Chile Isidora","4.7","89","Isidora Goyenechea 3275, 7550129 Las Condes, Región Metropolitana","9 3452 4440","https://lacabrerachile.cl/","Restaurante","https://www.google.com/maps/place/La+Cabrera+Chile+Isidora/data=!4m7!3m6!1s0x9662cf1a85a95ee5:0x1afc90f8f5200406!8m2!3d-33.4146907!4d-70.5966256!16s%2Fg%2F11pzx6mqls!19sChIJ5V6phRrPYpYRBgQg9fiQ_Bo?authuser=0&hl=es-419&rclk=1","-33.4146907","-70.5966256","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Kató Tasty Caos","4.8","696","Isidora Goyenechea 3275, local 2, 7550129 Las Condes, Región Metropolitana","9 7663 1330","https://katotastycaos.cl/","Restaurante de cocina panasiática","https://www.google.com/maps/place/Kat%C3%B3+Tasty+Caos/data=!4m7!3m6!1s0x9662cf43fd970a8b:0xc8f06bea80827d12!8m2!3d-33.4146907!4d-70.5966256!16s%2Fg%2F11mkhstszp!19sChIJiwqX_UPPYpYREn2CgOpr8Mg?authuser=0&hl=es-419&rclk=1","-33.4146907","-70.5966256","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Hijo del Sol Las condes","4.6","309","Isidora Goyenechea 3215, 7550083 Las Condes, Región Metropolitana","9 9770 2222","https://www.instagram.com/hijodelsol.santiago/","Restaurante peruano","https://www.google.com/maps/place/Hijo+del+Sol+Las+condes/data=!4m7!3m6!1s0x9662cf00105e07af:0x8803bd86a3a14b42!8m2!3d-33.4146584!4d-70.5968579!16s%2Fg%2F11vxm2gzdv!19sChIJrwdeEADPYpYRQkuho4a9A4g?authuser=0&hl=es-419&rclk=1","-33.4146584","-70.5968579","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Raffaella Cucina Napoletana","4.8","939","Ntra. Sra. del Rosario 21, 7560763 Las Condes, Región Metropolitana","9 4018 6723","http://www.raffaellacucina.cl/","Restaurante italiano","https://www.google.com/maps/place/Raffaella+Cucina+Napoletana/data=!4m7!3m6!1s0x9662cff574ae6adb:0x32b078a303f2f8ec!8m2!3d-33.4063143!4d-70.5612246!16s%2Fg%2F11s1v1pqdl!19sChIJ22qudPXPYpYR7PjyA6N4sDI?authuser=0&hl=es-419&rclk=1","-33.4063143","-70.5612246","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Lumiére Bistró Restaurante","4.6","78","Puerta del Sol 19, 7580067 Las Condes, Región Metropolitana","9 5451 7148","http://lumierebistro.cl/","Restaurante","https://www.google.com/maps/place/Lumi%C3%A9re+Bistr%C3%B3+Restaurante/@-33.4124303,-70.5787114,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf95117ec80d:0xc51680b1d08a9f02!8m2!3d-33.4124303!4d-70.5787114!16s%2Fg%2F11x318xkp_?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4124303","-70.5787114","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Restoran Pinpilinpausha","4.6","80","Isidora Goyenechea 2900, 7550033 Las Condes, Región Metropolitana","(2) 3275 4303","http://www.pinpilinpausha.cl/","Restaurante de cocina española","https://www.google.com/maps/place/Restoran+Pinpilinpausha/data=!4m7!3m6!1s0x9662cf41a61d994b:0xf33a25474c22bc39!8m2!3d-33.4137939!4d-70.6017388!16s%2Fg%2F1tg7t6hy!19sChIJS5kdpkHPYpYRObwiTEclOvM?authuser=0&hl=es-419&rclk=1","-33.4137939","-70.6017388","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Chilmex","4.8","54","Gral. Carol Urzúa 7065, 7560796 Las Condes, Región Metropolitana","(2) 2886 0775","http://chilmex.cl/","Restaurante","https://www.google.com/maps/place/Chilmex/@-33.4054821,-70.5572147,17z/data=!3m1!4b1!4m6!3m5!1s0x9662cf8fc31ea7a5:0x64a78c382180dc11!8m2!3d-33.4054821!4d-70.5572147!16s%2Fg%2F11fkblc7fj?authuser=0&hl=es-419&entry=ttu&g_ep=EgoyMDI2MDUxNy4wIKXMDSoASAFQAw%3D%3D","-33.4054821","-70.5572147","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","Sí","","","","","","","","","","","","","","","",""
"Piano Gourmet Restaurante y Café","4.8","143","Av. Padre Hurtado Nte 77, 7591575 Las Condes, Región Metropolitana","9 9128 7273","http://www.pianogourmet.cl/","Cafetería","https://www.google.com/maps/place/Piano+Gourmet+Restaurante+y+Caf%C3%A9/data=!4m7!3m6!1s0x9662cfc9db72f817:0x449f3256a68a0e89!8m2!3d-33.393639!4d-70.545679!16s%2Fg%2F11whmx2ln1!19sChIJF_hy28nPYpYRiQ6KplYyn0Q?authuser=0&hl=es-419&rclk=1","-33.393639","-70.545679","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Completo","No","","","","","","","","","","","","","","","","Revisar: parece cafeteria; Revisar: parece cafe"
"Toni Lautaro","4.6","67","Avenida Apoquindo 2730, MUT 4to piso, Las Condes, Región Metropolitana","9 7963 7286","","Restaurante","https://www.google.com/maps/place/Toni+Lautaro/data=!4m7!3m6!1s0x9662cf59110ee7d5:0xd5f5da5ab1f5418f!8m2!3d-33.4176518!4d-70.6013263!16s%2Fg%2F11w3b3g_7j!19sChIJ1ecOEVnPYpYRj0H1sVra9dU?authuser=0&hl=es-419&rclk=1","-33.4176518","-70.6013263","Las Condes","Metropolitana","Chile","Google Maps web scraping con Playwright","2026-05-22","Parcial","Sí","","","","","","","","","","","","","","","",""
